"","retailer_name","minor_involved","sale_to_minor","product_type","brand","flavor","inspection_date","decision_date","inspection_result","link","charges","address","newdate","year"
"11","MOBIL MART","Yes","Yes","E-cigarettes & Accessories","JUUL","Tobacco","05/10/2022","06/23/2022","Warning Letter Issued",NA,"Charges not yet available","112-01 BEACH CHANNEL, ROCKAWAY PARK, NY, 11694",2022-06-23,"2022"
"12","4 GUYS FROM BROOKLYN DELI AND GRILL","Yes","Yes","Cigar(s)","Other",NA,"05/09/2022","06/21/2022","Warning Letter Issued",NA,"Charges not yet available","598 WEST 178TH STREET, NEW YORK, NY, 10033",2022-06-21,"2022"
"13","FORT WASHINGTON CANDY AND GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"05/09/2022","06/21/2022","Warning Letter Issued",NA,"Charges not yet available","802 WEST 181ST STREET, NEW YORK, NY, 10033",2022-06-21,"2022"
"14","GOLDEN EARTH CANDY, INC.","Yes","Yes","Cigar(s)","Black & Mild",NA,"05/09/2022","06/21/2022","Warning Letter Issued",NA,"Charges not yet available","3635 BROADWAY, NEW YORK, NY, 10031",2022-06-21,"2022"
"15","WALLY DELI","Yes","Yes","Cigar(s)","Other","Russian Cream","05/09/2022","06/21/2022","Warning Letter Issued",NA,"Charges not yet available","3345 BROADWAY, NEW YORK, NY, 10031",2022-06-21,"2022"
"16","SANTIAGO DELI","Yes","Yes","E-cigarettes & Accessories","Vuse","Tobacco","05/09/2022","06/21/2022","Warning Letter Issued",NA,"Charges not yet available","3415 BROADWAY, NEW YORK, NY, 10031",2022-06-21,"2022"
"17","GOLDEN DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"05/09/2022","06/21/2022","Warning Letter Issued",NA,"Charges not yet available","3377 BROADWAY, NEW YORK, NY, 10031",2022-06-21,"2022"
"18","PRICE WISE DISCOUNT","Yes","Yes","Cigarettes in a package","Marlboro",NA,"05/09/2022","06/21/2022","Warning Letter Issued",NA,"Charges not yet available","337 EAST 86TH STREET, NEW YORK, NY, 10028",2022-06-21,"2022"
"19","947 DELI-GROCERY CORP","Yes","Yes","Cigar(s)","Black & Mild",NA,"05/05/2022","06/16/2022","Warning Letter Issued",NA,"Charges not yet available","941 EAST 163RD STREET, BRONX, NY, 10459",2022-06-16,"2022"
"20","MILL BASIN STOP","Yes","Yes","Cigar(s)","White Owl",NA,"02/20/2022","06/16/2022","Warning Letter Issued",NA,"Charges not yet available","6122 AVENUE U, BROOKLYN, NY, 11234",2022-06-16,"2022"
"21","JENNA CONVENIENCE AND GROCERY CO","Yes","Yes","Cigar(s)","Black & Mild",NA,"05/05/2022","06/16/2022","Warning Letter Issued",NA,"Charges not yet available","2810 3RD AVE, BRONX, NY, 10455",2022-06-16,"2022"
"22","114TH GOURMET DELI AND GRILL","Yes","Yes","Cigar(s)","Black & Mild",NA,"04/28/2022","06/14/2022","Warning Letter Issued",NA,"Charges not yet available","11321 JAMAICA AVENUE, RICHMOND HILL, NY, 11418",2022-06-14,"2022"
"23","128 ST GOURMET DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"05/03/2022","06/14/2022","Warning Letter Issued",NA,"Charges not yet available","104 EAST 128TH STREET, NEW YORK, NY, 10035",2022-06-14,"2022"
"24","1901 LEXINGTONCANDY AND GROCERY CORP.","Yes","Yes","Cigar(s)","Other","Honey Bourbon","05/03/2022","06/14/2022","Warning Letter Issued",NA,"Charges not yet available","1901 LEXINGTON AVENUE, NEW YORK, NY, 10035",2022-06-14,"2022"
"25","RICHMOND HILL FOOD CORP DELI AND GRILL","Yes","Yes","Cigarettes in a package","Newport","Menthol","04/28/2022","06/14/2022","Warning Letter Issued",NA,"Charges not yet available","126-19 JAMAICA AVENUE, RICHMOND HILL, NY, 11418",2022-06-14,"2022"
"26","TASTY PICK DELI AND GRILL","Yes","Yes","Cigar(s)","Black & Mild",NA,"05/03/2022","06/14/2022","Warning Letter Issued",NA,"Charges not yet available","1878 LEXINGTON AVENUE, NEW YORK, NY, 10035",2022-06-14,"2022"
"27","NEILL GOURMET DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"04/27/2022","06/14/2022","Warning Letter Issued",NA,"Charges not yet available","1074 NEILL AVENUE, BRONX, NY, 10461",2022-06-14,"2022"
"28","LUCKY STAR GOURMET DELI","Yes","Yes","Cigar(s)","Other","Sweet Aromatic","See Complaint","06/13/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-1109"")","See Complaint","856 EAST 180TH STREET, BRONX, NY, 10460",2022-06-13,"2022"
"29","AMEER CONVENIENCE CORP","Yes","Yes","Cigar(s)","Black & Mild",NA,"04/27/2022","06/09/2022","Warning Letter Issued",NA,"Charges not yet available","730 LYDIG AVENUE, BRONX, NY, 10462",2022-06-09,"2022"
"30","LUCKY DELI GROCERY","Yes","Yes","Cigar(s)","Game",NA,"04/27/2022","06/09/2022","Warning Letter Issued",NA,"Charges not yet available","793 LYDIG AVENUE, BRONX, NY, 10462",2022-06-09,"2022"
"31","SMOKE SHOP","Yes","Yes","Cigar(s)","Black & Mild",NA,"04/27/2022","06/09/2022","Warning Letter Issued",NA,"Charges not yet available","2180 WHITE PLAINS ROAD, BRONX, NY, 10462",2022-06-09,"2022"
"32","ST. NICHOLAS FOOD AND CAFE","Yes","Yes","Cigar(s)","White Owl",NA,"See Complaint","06/07/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-1021"")","See Complaint","285 SAINT NICHOLAS AVENUE, NEW YORK, NY, 10027",2022-06-07,"2022"
"33","MIDWOOD CONVENIENCE CORP SMOKE SHOP","Yes","Yes","Cigar(s)","Black & Mild","Tobacco","See Complaint","06/07/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-1017"")","See Complaint","1703 AVENUE M, BROOKLYN, NY, 11230",2022-06-07,"2022"
"34","GLOBAL","Yes","Yes","Cigar(s)","Black & Mild",NA,"04/21/2022","06/07/2022","Warning Letter Issued",NA,"Charges not yet available","3400 BAYCHESTER AVENUE, BRONX, NY, 10475",2022-06-07,"2022"
"35","OXYGEN HOOKAH AND SMOKE","Yes","Yes","Cigar(s)","Other",NA,"See Complaint","06/07/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-0834"")","See Complaint","81 EAST BURNSIDE AVENUE, BRONX, NY, 10453",2022-06-07,"2022"
"36","INTERNATIONAL NEWS","Yes","Yes","Cigar(s)","White Owl","Tobacco","See Complaint","06/07/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-1016"")","See Complaint","1508 AVENUE J, BROOKLYN, NY, 11230",2022-06-07,"2022"
"37","AVE M. GOURMET DELI","Yes","Yes","Cigar(s)","Black & Mild","Wine","See Complaint","06/06/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-1003"")","See Complaint","1624 AVENUE M, BROOKLYN, NY, 11230",2022-06-06,"2022"
"38","AVE U GOURMET DELI AND GRILL","Yes","Yes","Cigarettes in a package","Newport",NA,"See Complaint","06/06/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-1002"")","See Complaint","2950 AVENUE U, BROOKLYN, NY, 11229",2022-06-06,"2022"
"39","FAMOUS DELI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"04/20/2022","06/02/2022","Warning Letter Issued",NA,"Charges not yet available","706 EAST 138TH STREET, BRONX, NY, 10454",2022-06-02,"2022"
"40","BEST NEW YORK SMOKE INC. / VAPE SMOKE","Yes","Yes","Cigar(s)","Black & Mild",NA,"04/15/2022","05/31/2022","Warning Letter Issued",NA,"Charges not yet available","46 AVENUE B, NEW YORK, NY, 10009",2022-05-31,"2022"
"41","SHEEN BROTHERS","Yes","Yes","Cigarettes in a package","Newport",NA,"04/15/2022","05/31/2022","Warning Letter Issued",NA,"Charges not yet available","155 AVENUE B, NEW YORK, NY, 10009",2022-05-31,"2022"
"42","RED TIGER DELI AND GRILL","Yes","Yes","Cigar(s)","Black & Mild",NA,"04/15/2022","05/31/2022","Warning Letter Issued",NA,"Charges not yet available","192-19 LINDEN BOULEVARD, SAINT ALBANS, NY, 11412",2022-05-31,"2022"
"43","DISCOUNT SMOKE SHOP","Yes","Yes","Cigar(s)","Other",NA,"04/15/2022","05/31/2022","Warning Letter Issued",NA,"Charges not yet available","84 NASSAU STREET, NEW YORK, NY, 10038",2022-05-31,"2022"
"44","YOURS WHOLESOME FOODS","Yes","Yes","Cigarettes in a package","Newport",NA,"04/15/2022","05/31/2022","Warning Letter Issued",NA,"Charges not yet available","159 ESSEX STREET, NEW YORK, NY, 10002",2022-05-31,"2022"
"45","MILLENNIUM SMOKE SHOP","Yes","Yes","Cigar(s)","Black & Mild",NA,"04/15/2022","05/31/2022","Warning Letter Issued",NA,"Charges not yet available","24 MAIDEN LN, NEW YORK, NY, 10038",2022-05-31,"2022"
"46","RIVINGTON TOBACCO AND VAPE","Yes","Yes","Cigar(s)","Other",NA,"04/15/2022","05/31/2022","Warning Letter Issued",NA,"Charges not yet available","40 RIVINGTON ST # 1, NEW YORK, NY, 10002",2022-05-31,"2022"
"47","277 DELI","Yes","Yes","Cigar(s)","Black & Mild","Tobacco","See Complaint","05/27/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-0910"")","See Complaint","11802 JAMAICA AVENUE, RICHMOND HILL, NY, 11418",2022-05-27,"2022"
"48","E SMOKE AND CONVENIENCE","Yes","Yes","Cigar(s)","Black & Mild",NA,"04/14/2022","05/26/2022","Warning Letter Issued",NA,"Charges not yet available","2 WEST 33RD STREET, NEW YORK, NY, 10001",2022-05-26,"2022"
"49","FULL STOP GOURMET DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"04/11/2022","05/26/2022","Warning Letter Issued",NA,"Charges not yet available","3801 WHITE PLAINS ROAD, BRONX, NY, 10467",2022-05-26,"2022"
"50","MIDTOWN GROCERY","Yes","Yes","Cigar(s)","Other",NA,"04/14/2022","05/26/2022","Warning Letter Issued",NA,"Charges not yet available","1045 1ST AVENUE, NEW YORK, NY, 10022",2022-05-26,"2022"
"51","1933 DELI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"04/07/2022","05/24/2022","Warning Letter Issued",NA,"Charges not yet available","1933 MADISON AVENUE, NEW YORK, NY, 10035",2022-05-24,"2022"
"52","213 WHITE PLAIN DELI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"04/11/2022","05/24/2022","Warning Letter Issued",NA,"Charges not yet available","3608 WHITE PLAINS ROAD, BRONX, NY, 10467",2022-05-24,"2022"
"53","COMMUNITY DELI FOOD MARKET CORP","Yes","Yes","Cigar(s)","Other",NA,"04/11/2022","05/24/2022","Warning Letter Issued",NA,"Charges not yet available","3861 CARPENTER AVENUE, BRONX, NY, 10467",2022-05-24,"2022"
"54","SHERMAN GOURMET DELI","Yes","Yes","Cigar(s)","Other","Honey Berry","See Complaint","05/20/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-0836"")","See Complaint","64 SHERMAN AVENUE, NEW YORK, NY, 10040",2022-05-20,"2022"
"55","INWOOD PARK GROCERY","Yes","Yes","Cigar(s)","Other","Sweet Aromatic","See Complaint","05/20/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-0847"")","See Complaint","630 WEST 207TH STREET, NEW YORK, NY, 10034",2022-05-20,"2022"
"56","CANDY AND TABACCO","Yes","Yes","Cigar(s)","Other","Sweet Aromatic","See Complaint","05/19/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-0829"")","See Complaint","2233A GRAND CONCOURSE, BRONX, NY, 10453",2022-05-19,"2022"
"57","SANAD GOURMET DELI CORP.","Yes","Yes","Cigar(s)","Other",NA,"04/07/2022","05/19/2022","Warning Letter Issued",NA,"Charges not yet available","2020 MADISON AVENUE, NEW YORK, NY, 10035",2022-05-19,"2022"
"58","HEIGHTS SMOKE AND VAPE","Yes","Yes","E-cigarettes & Accessories","JUUL","Menthol","04/07/2022","05/19/2022","Warning Letter Issued",NA,"Charges not yet available","3832 BROADWAY, NEW YORK, NY, 10032",2022-05-19,"2022"
"59","GROCERY AND DELI II","Yes","Yes","Cigar(s)","Other","Honey Bourbon","See Complaint","05/18/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-0818"")","See Complaint","350 EAST 204TH STREET, BRONX, NY, 10467",2022-05-18,"2022"
"60","TREMONT EXPRESS DELI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/27/2022","05/12/2022","Warning Letter Issued",NA,"Charges not yet available","267 EAST TREMONT AVENUE, BRONX, NY, 10457",2022-05-12,"2022"
"61","DELI AND GRILL / TREMONT 5 STAR GOURMET CORP","Yes","Yes","Cigar(s)","Other",NA,"03/27/2022","05/10/2022","Warning Letter Issued",NA,"Charges not yet available","303 EAST TREMONT AVENUE, BRONX, NY, 10457",2022-05-10,"2022"
"62","A AND B DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/27/2022","05/10/2022","Warning Letter Issued",NA,"Charges not yet available","260 EAST BURNSIDE AVENUE, BRONX, NY, 10457",2022-05-10,"2022"
"63","LINA'S GROCERY DELI CORP.","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/27/2022","05/10/2022","Warning Letter Issued",NA,"Charges not yet available","1785 MONROE AVENUE, BRONX, NY, 10457",2022-05-10,"2022"
"64","107 DELI GRILL","Yes","Yes","Cigarettes in a package","Newport","Menthol","03/25/2022","05/05/2022","Warning Letter Issued",NA,"Charges not yet available","10705 JAMAICA AVENUE, RICHMOND HILL, NY, 11418",2022-05-05,"2022"
"65","HOME AND ALL GOODS","Yes","Yes","Cigar(s)","Other",NA,"01/14/2022","05/05/2022","Warning Letter Issued",NA,"Charges not yet available","384 BEDFORD PARK BOULEVARD, BRONX, NY, 10458",2022-05-05,"2022"
"66","B AND M SPANISH AMERICAN AND WEST INDIAN GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/25/2022","05/05/2022","Warning Letter Issued",NA,"Charges not yet available","12709 101ST AVENUE, SOUTH RICHMOND HILL, NY, 11419",2022-05-05,"2022"
"67","ST. PETERS FOOD CENTER CORP.","Yes","Yes","Cigar(s)","Other",NA,"03/25/2022","05/05/2022","Warning Letter Issued",NA,"Charges not yet available","1484 SAINT PETERS AVENUE, BRONX, NY, 10461",2022-05-05,"2022"
"68","LA REINA DE WESTCHESTER DELI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/23/2022","05/03/2022","Warning Letter Issued",NA,"Charges not yet available","1218 WESTCHESTER AVENUE, BRONX, NY, 10459",2022-05-03,"2022"
"69","J MADRID DELI","Yes","Yes","Cigar(s)","Other",NA,"03/21/2022","05/03/2022","Warning Letter Issued",NA,"Charges not yet available","10401 FRANCIS LEWIS BOULEVARD, QUEENS VILLAGE, NY, 11429",2022-05-03,"2022"
"70","GOOD GUYS DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/21/2022","05/03/2022","Warning Letter Issued",NA,"Charges not yet available","20722 HOLLIS AVENUE, QUEENS VILLAGE, NY, 11429",2022-05-03,"2022"
"71","NEW PRINCE GROCERY AND CANDY STORE CORP.","Yes","Yes","Cigar(s)","Other","Tobacco","See Complaint","04/29/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-0702"")","See Complaint","131 WEST KINGSBRIDGE ROAD, BRONX, NY, 10468",2022-04-29,"2022"
"72","520 EAST GROCERY","Yes","Yes","Cigar(s)","Phillies",NA,"03/18/2022","04/28/2022","Warning Letter Issued",NA,"Charges not yet available","520 BROOK AVENUE, BRONX, NY, 10455",2022-04-28,"2022"
"73","FAT BOY MARKET DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/17/2022","04/28/2022","Warning Letter Issued",NA,"Charges not yet available","3200 WHITE PLAINS ROAD, BRONX, NY, 10467",2022-04-28,"2022"
"74","BRADY DELI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/17/2022","04/28/2022","Warning Letter Issued",NA,"Charges not yet available","2068 WALLACE AVENUE, BRONX, NY, 10462",2022-04-28,"2022"
"75","CHANNEL'S DELI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/18/2022","04/28/2022","Warning Letter Issued",NA,"Charges not yet available","910 PROSPECT AVENUE A, BRONX, NY, 10459",2022-04-28,"2022"
"76","DELI AND GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/18/2022","04/28/2022","Warning Letter Issued",NA,"Charges not yet available","729 WESTCHESTER AVENUE, BRONX, NY, 10455",2022-04-28,"2022"
"77","EMPIRE STATE DELI AND GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/17/2022","04/28/2022","Warning Letter Issued",NA,"Charges not yet available","804 BURKE AVENUE, BRONX, NY, 10467",2022-04-28,"2022"
"78","224 RAMI DELI","Yes","Yes","Cigar(s)","Other","Tobacco","See Complaint","04/26/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-0664"")","See Complaint","224 WILLIS AVENUE, BRONX, NY, 10454",2022-04-26,"2022"
"79","BEST SMOKE SHOP","Yes","Yes","E-cigarettes & Accessories","Other","Lush Ice","See Complaint","04/26/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-0650"")","See Complaint","585 EAST 168TH STREET, BRONX, NY, 10456",2022-04-26,"2022"
"80","SAMMY M DELI AND GROGERY CORP.","Yes","Yes","Cigar(s)","N/A",NA,"03/02/2022","04/26/2022","Warning Letter Issued",NA,"Charges not yet available","2150 MOTT AVENUE, FAR ROCKAWAY, NY, 11691",2022-04-26,"2022"
"81","IBB DELI GROCERY","Yes","Yes","Cigar(s)","Other","Tobacco","See Complaint","04/26/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-0666"")","See Complaint","1711 BOONE AVENUE, BRONX, NY, 10460",2022-04-26,"2022"
"82","165 WOODYCREST GROCERY","Yes","Yes","Cigar(s)","Other","Dark Stout","See Complaint","04/25/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-0645"")","See Complaint","82 WEST 165TH STREET, BRONX, NY, 10452",2022-04-25,"2022"
"83","188 VALENTINE DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/14/2022","04/21/2022","Warning Letter Issued",NA,"Charges not yet available","221 EAST 188TH STREET, BRONX, NY, 10458",2022-04-21,"2022"
"84","314 SUPER DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/14/2022","04/21/2022","Warning Letter Issued",NA,"Charges not yet available","314 EAST KINGSBRIGE ROAD, BRONX, NY, 10458",2022-04-21,"2022"
"85","EAST AVENUE SNACK CITY EXPRESS","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/13/2022","04/21/2022","Warning Letter Issued",NA,"Charges not yet available","1444 EAST AVENUE, BRONX, NY, 10462",2022-04-21,"2022"
"86","HABIBI DELI GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/14/2022","04/21/2022","Warning Letter Issued",NA,"Charges not yet available","576 EAST 187TH STREET, BRONX, NY, 10458",2022-04-21,"2022"
"87","PERLA MARINA DELI GROCERY CORP.","Yes","Yes","Cigar(s)","Other","Tobacco","See Complaint","04/20/2022","Civil Money Penalty","=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2022-H-0616"")","See Complaint","766 EAST 152ND STREET, BRONX, NY, 10455",2022-04-20,"2022"
"88","146 DELI CORP.","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/09/2022","04/19/2022","Warning Letter Issued",NA,"Charges not yet available","461 WILLIS AVENUE, BRONX, NY, 10455",2022-04-19,"2022"
"89","CANDY AND TOBACCO BEAUTY SUPPLY","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/10/2022","04/19/2022","Warning Letter Issued",NA,"Charges not yet available","216-17 LINDEN BOULEVARD, CAMBRIA HEIGHTS, NY, 11411",2022-04-19,"2022"
"90","D AND J GROCERY DELI CORP","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/10/2022","04/19/2022","Warning Letter Issued",NA,"Charges not yet available","23105 LINDEN BOULEVARD, CAMBRIA HEIGHTS, NY, 11411",2022-04-19,"2022"
"91","EXPRESS DELI","Yes","Yes","Cigar(s)","N/A","Menthol","03/09/2022","04/19/2022","Warning Letter Issued",NA,"Charges not yet available","424 EAST 149TH STREET, BRONX, NY, 10455",2022-04-19,"2022"
"92","166STREET DELI CORP","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/09/2022","04/14/2022","Warning Letter Issued",NA,"Charges not yet available","156 WEST 166TH STREET, BRONX, NY, 10452",2022-04-14,"2022"
"93","DYLAN SUPER BODEGUITA DELI GROCERY CORP.","Yes","Yes","Cigar(s)","Phillies",NA,"03/09/2022","04/14/2022","Warning Letter Issued",NA,"Charges not yet available","1152 OGDEN AVENUE, BRONX, NY, 10452",2022-04-14,"2022"
"94","CIGAR ZONE","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/09/2022","04/14/2022","Warning Letter Issued",NA,"Charges not yet available","573 GRAND CONCOURSE, BRONX, NY, 10451",2022-04-14,"2022"
"95","JIB FOOD CORP.","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/07/2022","04/14/2022","Warning Letter Issued",NA,"Charges not yet available","12609 MERRICK BOULEVARD, JAMAICA, NY, 11434",2022-04-14,"2022"
"96","MERRICK DELI AND GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/07/2022","04/14/2022","Warning Letter Issued",NA,"Charges not yet available","11902 MERRICK BOULEVARD, JAMAICA, NY, 11434",2022-04-14,"2022"
"97","RABEE DELI AND GROCERY","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/07/2022","04/14/2022","Warning Letter Issued",NA,"Charges not yet available","114-58 MERRICK BOULEVARD, JAMACIA, NY, 11434",2022-04-14,"2022"
"98","ONE SEVEN TWO MINI MARKET","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/07/2022","04/14/2022","Warning Letter Issued",NA,"Charges not yet available","17201 BAISLEY BOULEVARD, JAMAICA, NY, 11434",2022-04-14,"2022"
"99","111 DELI AND GRILL","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/05/2022","04/12/2022","Warning Letter Issued",NA,"Charges not yet available","11052 SUTPHIN BOULEVARD, JAMAICA, NY, 11435",2022-04-12,"2022"
"100","ROUND THE CLOCK DELI / 24 HR MINI MART","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/03/2022","04/12/2022","Warning Letter Issued",NA,"Charges not yet available","111-01 LEFFERTS BOULEVARD, SOUTH OZONE PARK, NY, 11420",2022-04-12,"2022"
"101","ATLANTIS FRESH MARKET","Yes","Yes","Cigarettes in a package","Newport","Menthol","03/04/2022","04/12/2022","Warning Letter Issued",NA,"Charges not yet available","4201 WEBSTER AVENUE, BRONX, NY, 10470",2022-04-12,"2022"
"102","Y H CAMPUS GOURMET DELI","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/05/2022","04/12/2022","Warning Letter Issued",NA,"Charges not yet available","386 EAST 161ST STREET, BRONX, NY, 10451",2022-04-12,"2022"
"103","THE HEIGHTS CONVENIENCE STORE","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/05/2022","04/12/2022","Warning Letter Issued",NA,"Charges not yet available","380 AUDUBON AVE, NEW YORK, NY, 10033",2022-04-12,"2022"
"104","VASQUEZ FOOD CORP","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/05/2022","04/12/2022","Warning Letter Issued",NA,"Charges not yet available","115-05 SUTPHIN BOULEVARD, JAMAICA, NY, 11434",2022-04-12,"2022"
"105","GREENLAND DELI AND GROCERY CORP","Yes","Yes","Cigar(s)","Phillies",NA,"03/04/2022","04/12/2022","Warning Letter Issued",NA,"Charges not yet available","4313 KATONAH AVENUE, BRONX, NY, 10470",2022-04-12,"2022"
"106","FLATLANDS DELI","Yes","Yes","Cigar(s)","Phillies",NA,"02/20/2022","04/12/2022","Warning Letter Issued",NA,"Charges not yet available","911 EAST 107TH STREET, BROOKLYN, NY, 11236",2022-04-12,"2022"
"107","LINDO DESPERTAR DELI GROCERY","Yes","Yes","Cigar(s)","White Owl",NA,"03/05/2022","04/12/2022","Warning Letter Issued",NA,"Charges not yet available","202 AUDUBON AVENUE, NEW YORK, NY, 10033",2022-04-12,"2022"
"108","WOODLAWN GIFT SHOP","Yes","Yes","Cigar(s)","Black & Mild",NA,"03/04/2022","04/12/2022","Warning Letter Issued",NA,"Charges not yet available","4309 KATONAH AVENUE, BRONX, NY, 10470",2022-04-12,"2022"
