"","local_health_unit","operation_name","city","state","zip","municipality","county","vendor_type","creation_date","address","lat","lon"
"2736","NYC","MARMOL DELI GROCERY CORP.","JAMAICA","NY",11433,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","11312 GUY R BREWER BOULEVARD
JAMAICA, NY 11433
","40.68913998600004"," -73.78606799699998"
"2737","NYC","D & Y  46 CORP","NEW YORK","NY",10036,"MANHATTAN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","146 WEST 46TH  STREET
NEW YORK, NY 10036
","40.75806001700005"," -73.98414401999997"
"2738","NYC","MARKET ON 5TH INC","BROOKLYN","NY",11217,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","185 5TH AVENUE
BROOKLYN, NY 11217
","40.67710001100005"," -73.97983899099995"
"2739","NYC","2918 SALMAN DELI CORP","BROOKLYN","NY",11226,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","2918 BEVERLY ROAD
BROOKLYN, NY 11226
","40.64500874100003"," -73.94969948799996"
"2740","NYC","BAYSIDE ENTERPRISES INC","BAYSIDE","NY",11364,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","21902 HORCE HARDING EXPRESSWAY
BAYSIDE, NY 11364
","40.748250005000045"," -73.75831400699997"
"2741","NYC","EASY PASS CONVENIENCE CORP","NEW YORK","NY",10029,"MANHATTAN","NEW YORK CITY","CONVENIENCE/GAS","11/10/2020","200 EAST 116TH STREET
NEW YORK, NY 10029
","40.79771999800005"," -73.93986896299998"
"2742","NYC","241 GROCERY INC.","BRONX","NY",10458,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","241 BEDFORD PARK BOULEVARD
BRONX, NY 10458
","40.87118000300006"," -73.88645302199996"
"2743","NYC","GLENWOOD ROAD SUPERETTE, INC","BROOKLYN","NY",11234,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","5513-15 GLENWOOD ROAD
BROOKLYN, NY 11234
","40.635640016000025"," -73.92329098399995"
"2744","NYC","DON JUAN DELI & GROCERY INC","NEW YORK","NY",10002,"MANHATTAN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","110 FORSYTH STREET
NEW YORK, NY 10002
","40.71897998000003"," -73.99240497199997"
"2745","NYC","YVONNE DELI & GROCERY INC","OZONE PARK","NY",11420,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","11101 ROCKAWAY  BOULEVARD
OZONE PARK, NY 11420
","40.677721990000066"," -73.82749898999998"
"2746","NYC","ANDRES MANAGEMENT INC.","GLENDALE","NY",11385,"QUEENS","NEW YORK CITY","TOBACCO RETAIL","11/10/2020","6201 MYRTLE AVENUE
GLENDALE, NY 11385
","40.701010018000034"," -73.89321302699994"
"2747","NYC","VAPE TOWN INC","NEW YORK","NY",10014,"MANHATTAN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","184 WEST 4TH STREET
NEW YORK, NY 10014
","40.73246000800003"," -74.00191901899996"
"2748","NYC","8202 ST. GRILL CORP.","JACKSON HEIGHTS","NY",11373,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","8202 ROOSEVELT  AVENUE
JACKSON HEIGHTS, NY 11373
","40.74744701900005"," -73.88370803299995"
"2749","NYC","BROTHERS DELI 2 INC.","BROOKLYN","NY",11226,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","2124 DORCHESTER ROAD
BROOKLYN, NY 11226
","40.642119982000054"," -73.95772099199996"
"2750","NYC","STRAWBERRY 2 LLC","NEW YORK","NY",10011,"NEW YORK CITY","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","130 10TH AVE
NEW YORK, NY 10011
","40.74467001100004"," -74.00614198899996"
"2751","NYC","MUTHANA, AHMED N","BROOKLYN","NY",11219,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","5124 FORT HAMILTON PARKWAY
BROOKLYN, NY 11219
","40.63710001800007"," -73.99985799299998"
"2752","NYC","AVENUE NEWSSTAND LLC","MANHATTAN","NY",10036,"MANHATTAN","NEW YORK CITY","STAND","11/10/2020","1211 AVENUE OF THE AMERICA AVENUE
MANHATTAN, NY 10036
","40.758493256000065"," -73.98150504599994"
"2753","NYC","LIV DELI AND GROCERY CORP","BROOKLYN","NY",11212,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","248 LIVONIA AVENUE
BROOKLYN, NY 11212
","40.66253579800008"," -73.90862931899994"
"2754","NYC","EVERYDAY GROCERY STORE INC","BROOKLYN","NY",11229,"BROOKLYN","NEW YORK CITY","CONVENIENCE STORE","11/10/2020","2220 AVENUE U
BROOKLYN, NY 11229
","40.59953999700008"," -73.94878102199993"
"2755","NYC","SLIM DELI CORP.","RICHMOND HILL","NY",11418,"QUEENS","NEW YORK CITY","DELICATESSEN","11/10/2020","114-21 JAMAICA AVENUE
RICHMOND HILL, NY 11418
","40.69871999800006"," -73.83421197199993"
"2756","NYC","FERNANDEZ, MARILYN","BROOKLYN","NY",11208,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","2980 FULTON  STREET
BROOKLYN, NY 11208
","40.67979998900006"," -73.88477395899997"
"2757","NYC","SPEEDWAY LLC","SUNNYSIDE","NY",11104,"QUEENS","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","3902 QUEENS BOULEVARD
SUNNYSIDE, NY 11104
","40.74370998900008"," -73.92594997499998"
"2758","NYC","PARK ONE ENTERPRISES INC","BROOKLYN","NY",11220,"BROOKLYN","NEW YORK CITY","TOBACCO RETAIL","11/10/2020","4602 5TH  AVENUE
BROOKLYN, NY 11220
","40.64733000500007"," -74.00819798699996"
"2759","NYC","OMSHARDA INC","QUEENS VILLAGE","NY",11428,"QUEENS","NEW YORK CITY","CONVENIENCE STORE","11/10/2020","21703 JAMAICA AVENUE
QUEENS VILLAGE, NY 11428
","40.717900014000065"," -73.73773702099999"
"2760","NYC","TOP BK DELI CORP","BROOKLYN","NY",11212,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","245  RIVERDALE AVENUE
BROOKLYN, NY 11212
","40.661180010000066"," -73.90817799299998"
"2761","NYC","QUICK STOP 1 MINI MARKET CORP.","BRONX","NY",10462,"BRONX","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","685 MORRIS PARK AVENUE
BRONX, NY 10462
","40.84528000600005"," -73.86654398999997"
"2762","NYC","7 ELEVEN INC.","BROOKLYN","NY",11229,"BROOKLYN","NEW YORK CITY","CONVENIENCE STORE","11/10/2020","3342 NOSTRAND AVENUE
BROOKLYN, NY 11229
","40.60234001400005"," -73.94241203299998"
"2763","NYC","36TH FOOD & GRILL INC","BROOKLYN","NY",11210,"BROOKLYN","NEW YORK CITY","GROCERY SUPERMARKET","11/10/2020","1792 FLATBUSH AVENUE
BROOKLYN, NY 11210
","40.626049987000044"," -73.94075702599997"
