Compliance Check Inspections of Tobacco Product Retailers Through 6/30/22 - Search Results

You searched for:
State is NY
Decision Date: 01/01/2000 through 07/01/2022 
Minor Involved: Yes
Sale to Minor: Yes

Retailer Name,Street Address,City,State,Zip,Minor Involved,Sale to Minor,Product Type,Brand,Flavor,Inspection Date,Decision Date,Inspection Result,Link,Charges
"MOBIL MART","112-01 BEACH CHANNEL","ROCKAWAY PARK","NY",11694,Yes,Yes,ENDS / E-liquid,JUUL,Tobacco,05/10/2022,06/23/2022,Warning Letter Issued,,Charges not yet available
"4 GUYS FROM BROOKLYN DELI AND GRILL","598 WEST 178TH STREET","NEW YORK","NY",10033,Yes,Yes,Cigar(s),Other,,05/09/2022,06/21/2022,Warning Letter Issued,,Charges not yet available
"FORT WASHINGTON CANDY AND GROCERY","802 WEST 181ST STREET","NEW YORK","NY",10033,Yes,Yes,Cigar(s),Black & Mild,,05/09/2022,06/21/2022,Warning Letter Issued,,Charges not yet available
"GOLDEN EARTH CANDY, INC.","3635 BROADWAY","NEW YORK","NY",10031,Yes,Yes,Cigar(s),Black & Mild,,05/09/2022,06/21/2022,Warning Letter Issued,,Charges not yet available
"WALLY DELI","3345 BROADWAY","NEW YORK","NY",10031,Yes,Yes,Cigar(s),Other,Russian Cream,05/09/2022,06/21/2022,Warning Letter Issued,,Charges not yet available
"SANTIAGO DELI","3415 BROADWAY","NEW YORK","NY",10031,Yes,Yes,ENDS / E-liquid,Vuse,Tobacco,05/09/2022,06/21/2022,Warning Letter Issued,,Charges not yet available
"GOLDEN DELI","3377 BROADWAY","NEW YORK","NY",10031,Yes,Yes,Cigar(s),Black & Mild,,05/09/2022,06/21/2022,Warning Letter Issued,,Charges not yet available
"PRICE WISE DISCOUNT","337 EAST 86TH STREET","NEW YORK","NY",10028,Yes,Yes,Cigarettes in a package,Marlboro,,05/09/2022,06/21/2022,Warning Letter Issued,,Charges not yet available
"7-ELEVEN 35302A","400 EAST JERICHO TURNPIKE","MINEOLA","NY",11501,Yes,Yes,Cigar(s),Black & Mild,,See Complaint,06/16/2022,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2022-H-1170"),See Complaint
"947 DELI-GROCERY CORP","941 EAST 163RD STREET","BRONX","NY",10459,Yes,Yes,Cigar(s),Black & Mild,,05/05/2022,06/16/2022,Warning Letter Issued,,Charges not yet available
"MILL BASIN STOP","6122 AVENUE U","BROOKLYN","NY",11234,Yes,Yes,Cigar(s),White Owl,,02/20/2022,06/16/2022,Warning Letter Issued,,Charges not yet available
"JENNA CONVENIENCE AND GROCERY CO","2810 3RD AVE","BRONX","NY",10455,Yes,Yes,Cigar(s),Black & Mild,,05/05/2022,06/16/2022,Warning Letter Issued,,Charges not yet available
"114TH GOURMET DELI AND GRILL","11321 JAMAICA AVENUE","RICHMOND HILL","NY",11418,Yes,Yes,Cigar(s),Black & Mild,,04/28/2022,06/14/2022,Warning Letter Issued,,Charges not yet available
"128 ST GOURMET DELI","104 EAST 128TH STREET","NEW YORK","NY",10035,Yes,Yes,Cigar(s),Black & Mild,,05/03/2022,06/14/2022,Warning Letter Issued,,Charges not yet available
"1901 LEXINGTONCANDY AND GROCERY CORP.","1901 LEXINGTON AVENUE","NEW YORK","NY",10035,Yes,Yes,Cigar(s),Other,Honey Bourbon,05/03/2022,06/14/2022,Warning Letter Issued,,Charges not yet available
"RICHMOND HILL FOOD CORP DELI AND GRILL","126-19 JAMAICA AVENUE","RICHMOND HILL","NY",11418,Yes,Yes,Cigarettes in a package,Newport,Menthol,04/28/2022,06/14/2022,Warning Letter Issued,,Charges not yet available
"TASTY PICK DELI AND GRILL","1878 LEXINGTON AVENUE","NEW YORK","NY",10035,Yes,Yes,Cigar(s),Black & Mild,,05/03/2022,06/14/2022,Warning Letter Issued,,Charges not yet available
"NEILL GOURMET DELI","1074 NEILL AVENUE","BRONX","NY",10461,Yes,Yes,Cigar(s),Black & Mild,,04/27/2022,06/14/2022,Warning Letter Issued,,Charges not yet available
"LUCKY STAR GOURMET DELI","856 EAST 180TH STREET","BRONX","NY",10460,Yes,Yes,Cigar(s),Other,Sweet Aromatic,See Complaint,06/13/2022,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2022-H-1109"),See Complaint
"AMEER CONVENIENCE CORP","730 LYDIG AVENUE","BRONX","NY",10462,Yes,Yes,Cigar(s),Black & Mild,,04/27/2022,06/09/2022,Warning Letter Issued,,Charges not yet available
"LUCKY DELI GROCERY","793 LYDIG AVENUE","BRONX","NY",10462,Yes,Yes,Cigar(s),Game,,04/27/2022,06/09/2022,Warning Letter Issued,,Charges not yet available
"SMOKE SHOP","2180 WHITE PLAINS ROAD","BRONX","NY",10462,Yes,Yes,Cigar(s),Black & Mild,,04/27/2022,06/09/2022,Warning Letter Issued,,Charges not yet available
"MANDELLA MARKET / ARCO","511-525 BROADWAY STREET","BUFFALO","NY",14204,Yes,Yes,Cigarettes in a package,Newport,Menthol,See Complaint,06/08/2022,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2022-H-1027"),See Complaint
"WEST ALBANY NEWS CENTER","294 SAND CREEK ROAD","ALBANY","NY",12205,Yes,Yes,ENDS / E-liquid,Other,Mixed Berries,04/24/2022,06/07/2022,Warning Letter Issued,,Charges not yet available
"COLONIE BEVERAGE","1823 CENTRAL AVENUE","ALBANY","NY",12205,Yes,Yes,Cigarettes in a package,Other,,04/24/2022,06/07/2022,Warning Letter Issued,,Charges not yet available
"ST. NICHOLAS FOOD AND CAFE","285 SAINT NICHOLAS AVENUE","NEW YORK","NY",10027,Yes,Yes,Cigar(s),White Owl,,See Complaint,06/07/2022,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2022-H-1021"),See Complaint
"VILLAGE CARD SHOPPE","326 HEMPSTEAD AVENUE","MALVERNE","NY",11565,Yes,Yes,Cigar(s),Black & Mild,,04/23/2022,06/07/2022,Warning Letter Issued,,Charges not yet available
"MIDWOOD CONVENIENCE CORP SMOKE SHOP","1703 AVENUE M","BROOKLYN","NY",11230,Yes,Yes,Cigar(s),Black & Mild,Tobacco,See Complaint,06/07/2022,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2022-H-1017"),See Complaint
"GLOBAL","3400 BAYCHESTER AVENUE","BRONX","NY",10475,Yes,Yes,Cigar(s),Black & Mild,,04/21/2022,06/07/2022,Warning Letter Issued,,Charges not yet available
"OXYGEN HOOKAH AND SMOKE","81 EAST BURNSIDE AVENUE","BRONX","NY",10453,Yes,Yes,Cigar(s),Other,,See Complaint,06/07/2022,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2022-H-0834"),See Complaint
"INTERNATIONAL NEWS","1508 AVENUE J","BROOKLYN","NY",11230,Yes,Yes,Cigar(s),White Owl,Tobacco,See Complaint,06/07/2022,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2022-H-1016"),See Complaint
"MOBIL","3497 STATE STREET","SCHENECTADY","NY",12304,Yes,Yes,Smokeless tobacco,Grizzly,Wintergreen,04/24/2022,06/07/2022,Warning Letter Issued,,Charges not yet available
"AVE M. GOURMET DELI","1624 AVENUE M","BROOKLYN","NY",11230,Yes,Yes,Cigar(s),Black & Mild,Wine,See Complaint,06/06/2022,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2022-H-1003"),See Complaint
"AVE U GOURMET DELI AND GRILL","2950 AVENUE U","BROOKLYN","NY",11229,Yes,Yes,Cigarettes in a package,Newport,,See Complaint,06/06/2022,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2022-H-1002"),See Complaint
"FAMOUS DELI GROCERY","706 EAST 138TH STREET","BRONX","NY",10454,Yes,Yes,Cigar(s),Black & Mild,,04/20/2022,06/02/2022,Warning Letter Issued,,Charges not yet available
"FAMILY DOLLAR 3845","710 KENMORE AVENUE","BUFFALO","NY",14216,Yes,Yes,Cigar(s),Swisher,Grape,04/14/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"MORE 4 LESS FOOD MART","2580 ELMWOOD AVENUE","BUFFALO","NY",14217,Yes,Yes,Cigar(s),Game,,04/16/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"7-ELEVEN","3211 MAIN STREET","BUFFALO","NY",14214,Yes,Yes,ENDS / E-liquid,JUUL,Tobacco,04/14/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"DOLLAR GENERAL 9028","338 KENMORE AVENUE","BUFFALO","NY",14223,Yes,Yes,Cigar(s),Swisher,Grape,04/14/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"BEST NEW YORK SMOKE INC. / VAPE SMOKE","46 AVENUE B","NEW YORK","NY",10009,Yes,Yes,Cigar(s),Black & Mild,,04/15/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"SHEEN BROTHERS","155 AVENUE B","NEW YORK","NY",10009,Yes,Yes,Cigarettes in a package,Newport,,04/15/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"BUFF CITY","88 LISBON AVENUE","BUFFALO","NY",14214,Yes,Yes,Cigar(s),Swisher,Blueberry,04/14/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"BUFFALO MINI MART","2608 MAIN STREET","BUFFALO","NY",14214,Yes,Yes,Cigar(s),Swisher,,04/14/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"UNIVERSITY CONVENIENCE / MOBIL","3198 MAIN ST","BUFFALO","NY",14214,Yes,Yes,Cigar(s),Swisher,Lemon Mango,04/14/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"S AND S DELI","3083 MAIN STREET","BUFFALO","NY",14214,Yes,Yes,Cigar(s),Game,,04/14/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"RED TIGER DELI AND GRILL","192-19 LINDEN BOULEVARD","SAINT ALBANS","NY",11412,Yes,Yes,Cigar(s),Black & Mild,,04/15/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"DISCOUNT SMOKE SHOP","84 NASSAU STREET","NEW YORK","NY",10038,Yes,Yes,Cigar(s),Other,,04/15/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"NEW ENGLEWOOD GROCERY","115 ENGLEWOOD AVENUE","BUFFALO","NY",14214,Yes,Yes,Cigar(s),Swisher,Grape,04/14/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"YOURS WHOLESOME FOODS","159 ESSEX STREET","NEW YORK","NY",10002,Yes,Yes,Cigarettes in a package,Newport,,04/15/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"FUEL MART / MINITZ","650 TONAWANDA STREET","BUFFALO","NY",14207,Yes,Yes,Cigar(s),Game,,04/16/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"SMOKER'S HAVEN","1167 UNION ROAD","WEST SENECA","NY",14224,Yes,Yes,Cigar(s),Other,,04/08/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"MILLENNIUM SMOKE SHOP","24 MAIDEN LN","NEW YORK","NY",10038,Yes,Yes,Cigar(s),Black & Mild,,04/15/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"RIVINGTON TOBACCO AND VAPE","40 RIVINGTON ST # 1","NEW YORK","NY",10002,Yes,Yes,Cigar(s),Other,,04/15/2022,05/31/2022,Warning Letter Issued,,Charges not yet available
"277 DELI","11802 JAMAICA AVENUE","RICHMOND HILL","NY",11418,Yes,Yes,Cigar(s),Black & Mild,Tobacco,See Complaint,05/27/2022,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2022-H-0910"),See Complaint
"FAMILY DOLLAR #8178","11322 MAPLE RIDGE ROAD","MEDINA","NY",14103,Yes,Yes,Cigar(s),Swisher,Grape,04/12/2022,05/26/2022,Warning Letter Issued,,Charges not yet available
"B RITE MARKET","905 CLINTON STREET","BUFFALO","NY",14210,Yes,Yes,Cigar(s),Swisher,,04/13/2022,05/26/2022,Warning Letter Issued,,Charges not yet available
"CLINTON EXPRESS","1270 CLINTON SREET","BUFFALO","NY",14206,Yes,Yes,Cigar(s),Swisher,Grape,04/13/2022,05/26/2022,Warning Letter Issued,,Charges not yet available
"E SMOKE AND CONVENIENCE","2 WEST 33RD STREET","NEW YORK","NY",10001,Yes,Yes,Cigar(s),Black & Mild,,04/14/2022,05/26/2022,Warning Letter Issued,,Charges not yet available
"THE CORNER STORE","2050 CLINTON STREET","BUFFALO","NY",14206,Yes,Yes,Cigar(s),Swisher,Grape,04/13/2022,05/26/2022,Warning Letter Issued,,Charges not yet available
"SAVE MORE GROCERY AND DELI","1591 SOUTH PARK AVENUE","BUFFALO","NY",14220,Yes,Yes,Cigar(s),Game,,04/13/2022,05/26/2022,Warning Letter Issued,,Charges not yet available
"FULL STOP GOURMET DELI","3801 WHITE PLAINS ROAD","BRONX","NY",10467,Yes,Yes,Cigar(s),Black & Mild,,04/11/2022,05/26/2022,Warning Letter Issued,,Charges not yet available
"DELTA SONIC","1006 MCKINLEY PARKWAY","BUFFALO","NY",14220,Yes,Yes,Cigar(s),Swisher,Lemon Mango,04/13/2022,05/26/2022,Warning Letter Issued,,Charges not yet available
"KWIK FILL","118 PEARL STREET","MEDINA","NY",14103,Yes,Yes,Cigar(s),Game,Grape,04/12/2022,05/26/2022,Warning Letter Issued,,Charges not yet available
"MIDTOWN GROCERY","1045 1ST AVENUE","NEW YORK","NY",10022,Yes,Yes,Cigar(s),Other,,04/14/2022,05/26/2022,Warning Letter Issued,,Charges not yet available
"WAZY'S MINI MART","595 ONTARIO STREET","BUFFALO","NY",14207,Yes,Yes,Cigarettes in a package,Newport,Menthol,04/14/2022,05/26/2022,Warning Letter Issued,,Charges not yet available
"SPEEDWAY","155 BAILEY AVENUE","BUFFALO","NY",14220,Yes,Yes,Cigar(s),Swisher,Grape,04/13/2022,05/26/2022,Warning Letter Issued,,Charges not yet available
"SUNOCO","155 JEFFERSON AVENUE","BUFFALO","NY",14210,Yes,Yes,Cigar(s),Swisher,Grape,04/13/2022,05/26/2022,Warning Letter Issued,,Charges not yet available
"SUNOCO","523 STARIN AVENUE","BUFFALO","NY",14216,Yes,Yes,Cigar(s),Swisher,Grape,04/14/2022,05/26/2022,Warning Letter Issued,,Charges not yet available
"1933 DELI GROCERY","1933 MADISON AVENUE","NEW YORK","NY",10035,Yes,Yes,Cigar(s),Black & Mild,,04/07/2022,05/24/2022,Warning Letter Issued,,Charges not yet available
"213 WHITE PLAIN DELI GROCERY","3608 WHITE PLAINS ROAD","BRONX","NY",10467,Yes,Yes,Cigar(s),Black & Mild,,04/11/2022,05/24/2022,Warning Letter Issued,,Charges not yet available
"JOE'S KWIK MART 452 / MOBIL","697 ORCHARD PARK ROAD","BUFFALO","NY",14224,Yes,Yes,Cigar(s),Game,,04/08/2022,05/24/2022,Warning Letter Issued,,Charges not yet available
"7-ELEVEN","4340 SOUTH BUFFALO STREET","ORCHARD PARK","NY",14127,Yes,Yes,ENDS / E-liquid,JUUL,Tobacco,04/08/2022,05/24/2022,Warning Letter Issued,,Charges not yet available
"FAMILY DOLLAR 895","459 WILLIAM STREET","BUFFALO","NY",14204,Yes,Yes,Cigar(s),Swisher,,04/08/2022,05/24/2022,Warning Letter Issued,,Charges not yet available
"COMMUNITY DELI FOOD MARKET CORP","3861 CARPENTER AVENUE","BRONX","NY",10467,Yes,Yes,Cigar(s),Other,,04/11/2022,05/24/2022,Warning Letter Issued,,Charges not yet available
"GEORGES CONVENIENCE / MOBIL","2206 MILLERSPORT HIGHWAY","GETZVILLE","NY",14068,Yes,Yes,Cigar(s),Swisher,Blueberry,04/09/2022,05/24/2022,Warning Letter Issued,,Charges not yet available
"SHOP-N-GO","1849 ABBOTT ROAD","BUFFALO","NY",14218,Yes,Yes,Cigar(s),Swisher,Grape,04/08/2022,05/24/2022,Warning Letter Issued,,Charges not yet available
"SIR VAPE A LIIT OFWNY","5999 SOUTH PARK AVENUE","HAMBURG","NY",14075,Yes,Yes,ENDS / E-liquid,JUUL,Menthol,04/08/2022,05/24/2022,Warning Letter Issued,,Charges not yet available
"PRISM SMOKE SHOP","1079 UNION ROAD","WEST SENECA","NY",14224,Yes,Yes,ENDS / E-liquid,JUUL,Menthol,04/08/2022,05/24/2022,Warning Letter Issued,,Charges not yet available
"XPRESS SMOKE SHOP","1234 ABBOTT ROAD","BUFFALO","NY",14218,Yes,Yes,Cigar(s),Game,Mango,04/08/2022,05/24/2022,Warning Letter Issued,,Charges not yet available
"SHERMAN GOURMET DELI","64 SHERMAN AVENUE","NEW YORK","NY",10040,Yes,Yes,Cigar(s),Other,Honey Berry,See Complaint,05/20/2022,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2022-H-0836"),See Complaint
"INWOOD PARK GROCERY","630 WEST 207TH STREET","NEW YORK","NY",10034,Yes,Yes,Cigar(s),Other,Sweet Aromatic,See Complaint,05/20/2022,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2022-H-0847"),See Complaint
"CONOCO / C STORE","1000 HICKSVILLE ROAD","MASSAPEQUA","NY",11758,Yes,Yes,Cigar(s),Black & Mild,,04/06/2022,05/19/2022,Warning Letter Issued,,Charges not yet available
"CANDY AND TABACCO","2233A GRAND CONCOURSE","BRONX","NY",10453,Yes,Yes,Cigar(s),Other,Sweet Aromatic,See Complaint,05/19/2022,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2022-H-0829"),See Complaint
"SANAD GOURMET DELI CORP.","2020 MADISON AVENUE","NEW YORK","NY",10035,Yes,Yes,Cigar(s),Other,,04/07/2022,05/19/2022,Warning Letter Issued,,Charges not yet available
"HEIGHTS SMOKE AND VAPE","3832 BROADWAY","NEW YORK","NY",10032,Yes,Yes,ENDS / E-liquid,JUUL,Menthol,04/07/2022,05/19/2022,Warning Letter Issued,,Charges not yet available
"RAB SMOKES","2361 MILLERSPORT HIGHWAY","GETZVILLE","NY",14068,Yes,Yes,ENDS / E-liquid,JUUL,Tobacco,04/01/2022,05/19/2022,Warning Letter Issued,,Charges not yet available
"GROCERY AND DELI II","350 EAST 204TH STREET","BRONX","NY",10467,Yes,Yes,Cigar(s),Other,Honey Bourbon,See Complaint,05/18/2022,Civil Money Penalty,=HYPERLINK("https://www.regulations.gov/docket?D=FDA-2022-H-0818"),See Complaint
"7-ELEVEN 32124A","1271 GRAND AVENUE","NORTH BALDWIN","NY",11510,Yes,Yes,Cigarettes in a package,Newport,Menthol,04/01/2022,05/17/2022,Warning Letter Issued,,Charges not yet available
"DOLLAR GENERAL 8245","2329 MILLERSPORT HIGHWAY","GETZVILLE","NY",14068,Yes,Yes,Cigar(s),Swisher,,04/01/2022,05/17/2022,Warning Letter Issued,,Charges not yet available
"BUFFALO SMOKES","942 MAPLE ROAD","BUFFALO","NY",14221,Yes,Yes,Cigar(s),Game,,04/01/2022,05/17/2022,Warning Letter Issued,,Charges not yet available
"MOBIL","1214 GRAND AVENUE","NORTH BALDWIN","NY",11510,Yes,Yes,ENDS / E-liquid,JUUL,Virginia Tobacco,04/01/2022,05/17/2022,Warning Letter Issued,,Charges not yet available
"PREMIER VAPE","4192 UNION ROAD","BUFFALO","NY",14225,Yes,Yes,Cigar(s),White Owl,Grape,04/01/2022,05/17/2022,Warning Letter Issued,,Charges not yet available
"7-ELEVEN 23872","3615 MERRICK ROAD","SEAFORD","NY",11783,Yes,Yes,Cigar(s),Black & Mild,Wine,04/01/2022,05/12/2022,Warning Letter Issued,,Charges not yet available
"MARWAN CONVENIENCE STORE","111 SOUTH 4TH AVENUE","MOUNT VERNON","NY",10550,Yes,Yes,Cigar(s),Other,,01/15/2022,05/12/2022,Warning Letter Issued,,Charges not yet available
"TREMONT EXPRESS DELI GROCERY","267 EAST TREMONT AVENUE","BRONX","NY",10457,Yes,Yes,Cigar(s),Black & Mild,,03/27/2022,05/12/2022,Warning Letter Issued,,Charges not yet available
"DOLLAR GENERAL 12803","3079 BAILEY AVENUE","BUFFALO","NY",14215,Yes,Yes,Cigar(s),Swisher,Grape,03/26/2022,05/10/2022,Warning Letter Issued,,Charges not yet available
"7-ELEVEN 35174","2824 PINE AVENUE","NIAGARA FALLS","NY",14301,Yes,Yes,ENDS / E-liquid,JUUL,Tobacco,03/26/2022,05/10/2022,Warning Letter Issued,,Charges not yet available
"DELI AND GRILL / TREMONT 5 STAR GOURMET CORP","303 EAST TREMONT AVENUE","BRONX","NY",10457,Yes,Yes,Cigar(s),Other,,03/27/2022,05/10/2022,Warning Letter Issued,,Charges not yet available
"SUNOCO 6704001 / SNACK SHOP","3444 BAILEY AVENUE","BUFFALO","NY",14215,Yes,Yes,Cigar(s),Swisher,,03/26/2022,05/10/2022,Warning Letter Issued,,Charges not yet available
"A AND B DELI","260 EAST BURNSIDE AVENUE","BRONX","NY",10457,Yes,Yes,Cigar(s),Black & Mild,,03/27/2022,05/10/2022,Warning Letter Issued,,Charges not yet available
"FASTRAC CAFE","2751 BAILEY AVENUE","BUFFALO","NY",14215,Yes,Yes,Cigar(s),Game,,03/26/2022,05/10/2022,Warning Letter Issued,,Charges not yet available
"CITY CENTER GROCERY","1531 EAST DELAVAN AVENUE","BUFFALO","NY",14215,Yes,Yes,Cigar(s),Game,Grape,03/26/2022,05/10/2022,Warning Letter Issued,,Charges not yet available
"LINA'S GROCERY DELI CORP.","1785 MONROE AVENUE","BRONX","NY",10457,Yes,Yes,Cigar(s),Black & Mild,,03/27/2022,05/10/2022,Warning Letter Issued,,Charges not yet available
"JOSENY DELI GROCERY","324 S COLUMBUS AVE","MT VERNON","NY",10553,Yes,Yes,Single cigarette,N/A,Menthol,01/15/2022,05/10/2022,Warning Letter Issued,,Charges not yet available
"GULF EXPRESS / MARATHON","1635 KENSINGTON AVENUE","BUFFALO","NY",14215,Yes,Yes,Cigar(s),Swisher,,03/26/2022,05/10/2022,Warning Letter Issued,,Charges not yet available
"TRADE FAIR FOODMART","364 EGGERT ROAD","BUFFALO","NY",14215,Yes,Yes,Cigar(s),Game,,03/26/2022,05/10/2022,Warning Letter Issued,,Charges not yet available
