field_1,retailer_name,minor_involved,sale_to_minor,product_type,brand,flavor,inspection_date,decision_date,inspection_result,link,charges,address,lon,lat,newdate
"786",SAN MIGUEL DELI GROCERY,Yes,true,Cigar(s),Other,NA,See Complaint,09/14/2017,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5634"")",See Complaint,"5129 103RD STREET, CORONA, NY, 11368",,,2017/09/14
"793",NEW CORONA LUCKY STORE,Yes,true,Cigar(s),Other,NA,See Complaint,09/08/2017,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5509"")",See Complaint,"9055 CORONA AVENUE, ELMHURST, NY, 11373",,,2017/09/08
"794",JUNCTION DELI GRILL & GROCERY,Yes,true,Cigar(s),Black & Mild,NA,See Complaint,09/08/2017,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5496"")",See Complaint,"4910 JUNCTION BOULEVARD, ELMHURST, NY, 11373",,,2017/09/08
"810",REGO PARK DAIRY FARM,Yes,true,Cigar(s),Other,NA,See Complaint,08/29/2017,Civil Money Penalty,"=HYPERLINK(""https://www.regulations.gov/docket?D=FDA-2017-H-5238"")",See Complaint,"9622 QUEENS BOULEVARD, REGO PARK, NY, 11374",,,2017/08/29
"833",GUMAN DELI GROCERY CORP.,Yes,true,Cigar(s),Other,NA,07/24/2017,08/10/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","41-06 JUNCTION BOULEVARD, QUEENS, NY, 11368",,,2017/08/10
"834",RAMIREZ GROCERY STORE,Yes,true,Cigar(s),Other,NA,07/24/2017,08/10/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","108-70 43RD AVENUE, CORONA, NY, 11368",,,2017/08/10
"849",JAA DELI CORP,Yes,true,Cigar(s),Other,NA,07/06/2017,07/27/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","4904 111ST STREET, CORONA, NY, 11368",,,2017/07/27
"928",CORONA LUCKY STORE,Yes,true,Cigar(s),Black & Mild,NA,04/08/2017,05/11/2017,Warning Letter Issued,NA,1140.14(b)(1)-Sale to a Minor,"9055 CORONA AVENUE, ELMHURST, NY, 11373",,,2017/05/11
"932",LIE DELI GROCERY,Yes,true,Cigar(s),Black & Mild,NA,04/26/2017,05/04/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","89-06 ELIOT AVENUE, REGO PARK, NY, 11374",,,2017/05/04
"939",K-FOOD MARKET/GROCERY,Yes,true,Cigar(s),Black & Mild,NA,04/26/2017,05/04/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","92-58 QUEENS BOULEVARD, REGO PARK, NY, 11374",,,2017/05/04
"942",DUANE READE #14477,Yes,true,Cigarettes in a package,Camel,NA,04/11/2017,04/27/2017,Warning Letter Issued,NA,"1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age","9511 63RD DRIVE, REGO PARK, NY, 11374",,,2017/04/27
"943",63-28 99TH STREET FARM LTD,Yes,true,Cigar(s),Black & Mild,NA,04/19/2017,04/27/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","63-28 99TH STREET, REGO PARK, NY, 11374",,,2017/04/27
"947",REGO PARK DAIRY FARM INC.,Yes,true,Cigar(s),Black & Mild,NA,04/18/2017,04/27/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","9622 QUEENS BLVD, REGO PARK, NY, 11374",,,2017/04/27
"949",JUNCTION DELI GRILL & GROCERY,Yes,true,Cigar(s),Black & Mild,NA,04/15/2017,04/27/2017,Warning Letter Issued,NA,"1140.14(b)(1)-Sale to a Minor; 1140.14(b)(2)(i)-Failure to verify age","4910 JUNCTION BOULEVARD, ELMHURST, NY, 11373",,,2017/04/27
"962",HEADLINE NEWS INC.,Yes,true,Cigarettes in a package,Marlboro,NA,04/15/2017,04/20/2017,Warning Letter Issued,NA,"1140.14(a)(1)-Sale to a minor; 1140.14(a)(2)(i)-Failure to verify age","8801 QUEENS BLVD, ELMHURST, NY, 11373",,,2017/04/20
"1042",WING LEE KITCHEN,Yes,true,Cigarettes in a package,Newport,NA,01/18/2017,01/26/2017,Warning Letter Issued,NA,1140.14(a)(1)-Sale to a minor,"5904 99TH STREET, FLUSHING, NY, 11368",,,2017/01/26
"1043",BELEN DELI GROCERY,Yes,true,Cigarettes in a package,Newport,NA,Not yet available,01/19/2017,Civil Money Penalty not available,NA,Not yet available,"9816 CORONA AVENUE, CORONA, NY, 11368",,,2017/01/19
"1057",SAN MIGUEL DELI GROCERY,Yes,true,Cigarettes in a package,Newport,NA,08/22/2016,11/23/2016,Warning Letter Issued,NA,1140.14(a)(1)-Sale to a minor,"5129 103RD STREET, CORONA, NY, 11368",,,2016/11/23
"1063",LA TIENDA DELI CORP.,Yes,true,Cigarettes in a package,Newport,NA,08/15/2016,11/10/2016,Warning Letter Issued,NA,1140.14(a)(1)-Sale to a minor,"5314 108TH STREET, CORONA, NY, 11368",,,2016/11/10
"1082",CORONA KING PRODUCE,Yes,true,Cigarettes in a package,Newport,NA,08/04/2016,09/22/2016,Warning Letter Issued,NA,1140.14(a)(1)-Sale to a minor,"4008 NATIONAL STREET, QUEENS, NY, 11368",,,2016/09/22
"1196","CANDY & GROCERY STORE, INC.",Yes,true,Cigarettes in a package,Newport,NA,10/15/2015,10/29/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","3918 103RD STREET, CORONA, NY, 11368",,,2015/10/29
"1258",G & S DELI & GROCERY,Yes,true,Cigarettes in a package,Marlboro,NA,09/16/2015,09/24/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","4136 JUNCTION BLVD, CORONA, NY, 11368",,,2015/09/24
"1336",MIHIR GROCERY,Yes,true,Cigarettes in a package,Marlboro,NA,08/10/2015,08/20/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","64-36 108TH STREET, FOREST HILLS, NY, 11375",,,2015/08/20
"1434",MONTERO'S GROCERY,Yes,true,Cigarettes in a package,Marlboro,NA,06/08/2015,07/09/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","4101 99TH ST, FLUSHING, NY, 11368",,,2015/07/09
"1435",MRX GROCERY STORE,Yes,true,Cigarettes in a package,Marlboro,NA,06/10/2015,07/09/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","105 44 OTIS AVE, CORONA, NY, 11368",,,2015/07/09
"1436",7-ELEVEN,Yes,true,Smokeless tobacco,Grizzly,NA,05/30/2015,07/02/2015,Warning Letter Issued,NA,1140.14(a)-Sale to a minor,"107-24 CORONA AVENUE, QUEENS, NY, 11368",,,2015/07/02
"1439",C&J DELI & GROCERY,Yes,true,Cigarettes in a package,Marlboro,NA,06/01/2015,07/02/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","108-02 ROOSEVELT AVENUE, QUEENS, NY, 11368",,,2015/07/02
"1442",NEW CORONA KING PRODUCE INC,Yes,true,Cigarettes in a package,Other,NA,06/03/2015,07/02/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","4008 NATIONAL ST, QUEENS, NY, 11368",,,2015/07/02
"1443",LATIENDA DELI CORP.,Yes,true,Cigarettes in a package,Marlboro,NA,06/03/2015,07/02/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","5314 108TH ST, CORONA, NY, 11368",,,2015/07/02
"1444",NAEMLEE FOOD CORP.,Yes,true,Cigarettes in a package,Marlboro,NA,05/30/2015,07/02/2015,Warning Letter Issued,NA,"1140.14(a)-Sale to a minor; 1140.14(b)(1)-Failure to verify age","98 16 CORONA AVENUE, CORONA, NY, 11368",,,2015/07/02
